lon,lat,group,2015-2019
-179.5,29.5,smallPel,0.0511494202525382
-179.5,29.5,largePel,2.43131318739887e-44
-179.5,29.5,demersals,2.38472322883255e-06
-179.5,29.5,total,0.051151804975767
-179.5,30.5,smallPel,0.0980014938333911
-179.5,30.5,largePel,1.51864078574555e-22
-179.5,30.5,demersals,2.65906018941294e-06
-179.5,30.5,total,0.0980041528935805
-179.5,31.5,smallPel,0.259793347279982
-179.5,31.5,largePel,0.0236384423217003
-179.5,31.5,demersals,2.60108299353912e-06
-179.5,31.5,total,0.283434390684676
-179.5,32.5,smallPel,0.33791186612108
-179.5,32.5,largePel,0.302704985100045
-179.5,32.5,demersals,2.41314675756682e-06
-179.5,32.5,total,0.640619264367883
-179.5,33.5,smallPel,0.478589396264924
-179.5,33.5,largePel,0.552076382524481
-179.5,33.5,demersals,1.65950352697904e-06
-179.5,33.5,total,1.03066743829293
-179.5,34.5,smallPel,0.60911932819424
-179.5,34.5,largePel,0.594368387622753
-179.5,34.5,demersals,6.47007272760823e-07
-179.5,34.5,total,1.20348836282427
-179.5,35.5,smallPel,0.603759094687752
-179.5,35.5,largePel,0.5484227588685
-179.5,35.5,demersals,1.01975568681554e-06
-179.5,35.5,total,1.15218287331194
-179.5,36.5,smallPel,0.587689093538991
-179.5,36.5,largePel,0.525206422309193
-179.5,36.5,demersals,1.52825824915835e-06
-179.5,36.5,total,1.11289704410643
-179.5,37.5,smallPel,0.571193370635063
-179.5,37.5,largePel,0.507302918792688
-179.5,37.5,demersals,1.74406010131169e-06
-179.5,37.5,total,1.07849803348785
-179.5,38.5,smallPel,0.497376455909261
-179.5,38.5,largePel,0.407355669793399
-179.5,38.5,demersals,1.89776715166897e-06
-179.5,38.5,total,0.904734023469812
-179.5,39.5,smallPel,0.464844123111288
-179.5,39.5,largePel,0.336479365070047
-179.5,39.5,demersals,1.92442345010047e-06
-179.5,39.5,total,0.801325412604785
-179.5,40.5,smallPel,0.457388382476108
-179.5,40.5,largePel,0.300907357648293
-179.5,40.5,demersals,2.1083734428601e-06
-179.5,40.5,total,0.758297848497844
-179.5,41.5,smallPel,0.472460132187555
-179.5,41.5,largePel,0.294269551827023
-179.5,41.5,demersals,2.26463134757579e-06
-179.5,41.5,total,0.766731948645925
-179.5,42.5,smallPel,0.445462426966788
-179.5,42.5,largePel,0.273171092412325
-179.5,42.5,demersals,2.31381484430058e-06
-179.5,42.5,total,0.718635833193958
-179.5,43.5,smallPel,0.415687857274048
-179.5,43.5,largePel,0.251588929186931
-179.5,43.5,demersals,2.26609217474237e-06
-179.5,43.5,total,0.667279052553154
-179.5,44.5,smallPel,0.368463670558991
-179.5,44.5,largePel,0.218813524915875
-179.5,44.5,demersals,2.24542929152052e-06
-179.5,44.5,total,0.587279440904157
-179.5,45.5,smallPel,0.302757275351871
-179.5,45.5,largePel,0.174564188011021
-179.5,45.5,demersals,2.22948854051135e-06
-179.5,45.5,total,0.477323692851432
-179.5,46.5,smallPel,0.267943645045025
-179.5,46.5,largePel,0.14912851775304
-179.5,46.5,demersals,2.21403809299297e-06
-179.5,46.5,total,0.417074376836158
-179.5,47.5,smallPel,0.25099964855209
-179.5,47.5,largePel,0.130232173938831
-179.5,47.5,demersals,2.24754242511801e-06
-179.5,47.5,total,0.381234070033346
-179.5,48.5,smallPel,0.29041188545701
-179.5,48.5,largePel,0.139416014427978
-179.5,48.5,demersals,2.32968944130809e-06
-179.5,48.5,total,0.429830229574429
-179.5,49.5,smallPel,0.421230500746703
-179.5,49.5,largePel,0.198967959866958
-179.5,49.5,demersals,2.38620521861194e-06
-179.5,49.5,total,0.620200846818879
-179.5,50.5,smallPel,0.681147995303033
-179.5,50.5,largePel,0.376428889934024
-179.5,50.5,demersals,2.44431755126069e-06
-179.5,50.5,total,1.05757932955461
-179.5,51.5,smallPel,1.17201593178973
-179.5,51.5,largePel,0.594097441737447
-179.5,51.5,demersals,4.17395112863816e-08
-179.5,51.5,total,1.76611341526669
-179.5,52.5,smallPel,1.27568488173941
-179.5,52.5,largePel,0.629246500232988
-179.5,52.5,demersals,8.21763628699314e-08
-179.5,52.5,total,1.90493146414876
-179.5,53.5,smallPel,1.32941051546001
-179.5,53.5,largePel,0.640677173497176
-179.5,53.5,demersals,7.6474510165591e-08
-179.5,53.5,total,1.9700877654317
-179.5,54.5,smallPel,1.43267729528808
-179.5,54.5,largePel,0.671344098347062
